date,from state,to state
6/21/20150:00,UP,DOWN
6/26/20150:00,UP,DOWN
6/28/20150:00,UP,UP
6/29/20150:00,UP,DOWN
7/3/20150:00,UP,UP
7/4/20150:00,UP,DOWN
7/7/20150:00,UP,DOWN
7/9/20150:00,UP,UP
7/10/20150:00,UP,UP
7/11/20150:00,UP,DOWN
7/19/20150:00,UP,DOWN
7/23/20150:00,UP,DOWN
7/25/20150:00,UP,DOWN
8/3/20150:00,UP,DOWN
8/8/20150:00,UP,DOWN
8/10/20150:00,UP,DOWN
8/18/20150:00,UP,UP
8/19/20150:00,UP,DOWN
8/24/20150:00,UP,UP
8/25/20150:00,UP,DOWN
8/27/20150:00,UP,DOWN
9/3/20150:00,UP,UP
9/4/20150:00,UP,UP
9/5/20150:00,UP,DOWN
9/7/20150:00,UP,DOWN
9/16/20150:00,UP,DOWN
9/21/20150:00,UP,DOWN
9/23/20150:00,UP,DOWN
9/27/20150:00,UP,DOWN
10/5/20150:00,UP,DOWN
