date,from state,to state
12/7/20150:00,UP,DOWN
12/10/20150:00,UP,DOWN
12/13/20150:00,UP,UP
12/14/20150:00,UP,DOWN
12/17/20150:00,UP,DOWN
12/22/20150:00,UP,UP
12/23/20150:00,UP,DOWN
12/26/20150:00,UP,DOWN
12/28/20150:00,UP,DOWN
12/31/20150:00,UP,DOWN
1/6/20160:00,UP,DOWN
1/15/20160:00,UP,DOWN
1/17/20160:00,UP,DOWN
1/19/20160:00,UP,DOWN
1/22/20160:00,UP,UP
1/23/20160:00,UP,DOWN
1/31/20160:00,UP,DOWN
2/3/20160:00,UP,DOWN
2/9/20160:00,UP,DOWN
2/11/20160:00,UP,UP
2/12/20160:00,UP,UP
2/13/20160:00,UP,DOWN
2/15/20160:00,UP,UP
2/16/20160:00,UP,UP
2/17/20160:00,UP,DOWN
2/19/20160:00,UP,DOWN
2/23/20160:00,UP,DOWN
2/25/20160:00,UP,DOWN
3/5/20160:00,UP,UP
3/6/20160:00,UP,DOWN
