date,from state,to state
2/10/20130:00,UP,UP
2/11/20130:00,UP,DOWN
2/13/20130:00,UP,DOWN
2/15/20130:00,UP,DOWN
2/17/20130:00,UP,UP
2/18/20130:00,UP,UP
2/19/20130:00,UP,UP
2/20/20130:00,UP,UP
2/21/20130:00,UP,DOWN
2/23/20130:00,UP,UP
2/24/20130:00,UP,UP
2/25/20130:00,UP,DOWN
2/27/20130:00,UP,UP
2/28/20130:00,UP,DOWN
3/2/20130:00,UP,UP
3/3/20130:00,UP,UP
3/4/20130:00,UP,UP
3/5/20130:00,UP,UP
3/6/20130:00,UP,UP
3/7/20130:00,UP,UP
3/8/20130:00,UP,DOWN
3/10/20130:00,UP,DOWN
3/12/20130:00,UP,UP
3/13/20130:00,UP,DOWN
3/15/20130:00,UP,UP
3/16/20130:00,UP,UP
3/17/20130:00,UP,UP
3/18/20130:00,UP,UP
3/19/20130:00,UP,UP
3/20/20130:00,UP,DOWN
