date,from state,to state
2/9/20160:00,UP,DOWN
2/11/20160:00,UP,UP
2/12/20160:00,UP,UP
2/13/20160:00,UP,DOWN
2/15/20160:00,UP,UP
2/16/20160:00,UP,UP
2/17/20160:00,UP,DOWN
2/19/20160:00,UP,UP
2/20/20160:00,UP,DOWN
2/23/20160:00,UP,DOWN
2/25/20160:00,UP,UP
2/26/20160:00,UP,UP
2/27/20160:00,UP,UP
2/28/20160:00,UP,DOWN
3/5/20160:00,UP,UP
3/6/20160:00,UP,DOWN
3/8/20160:00,UP,UP
3/9/20160:00,UP,UP
3/10/20160:00,UP,DOWN
3/12/20160:00,UP,UP
3/13/20160:00,UP,UP
3/14/20160:00,UP,UP
3/15/20160:00,UP,UP
3/16/20160:00,UP,DOWN
3/18/20160:00,UP,UP
3/19/20160:00,UP,UP
3/20/20160:00,UP,UP
3/21/20160:00,UP,UP
3/22/20160:00,UP,DOWN
3/24/20160:00,UP,UP
