date,from state,to state
8/30/20130:00,UP,DOWN
9/2/20130:00,UP,DOWN
9/6/20130:00,UP,DOWN
9/8/20130:00,UP,UP
9/9/20130:00,UP,UP
9/10/20130:00,UP,UP
9/11/20130:00,UP,UP
9/12/20130:00,UP,DOWN
9/14/20130:00,UP,UP
9/15/20130:00,UP,UP
9/16/20130:00,UP,UP
9/17/20130:00,UP,DOWN
9/21/20130:00,UP,DOWN
9/23/20130:00,UP,UP
9/24/20130:00,UP,UP
9/25/20130:00,UP,UP
9/26/20130:00,UP,UP
9/27/20130:00,UP,UP
9/28/20130:00,UP,DOWN
9/30/20130:00,UP,DOWN
10/2/20130:00,UP,UP
10/3/20130:00,UP,DOWN
10/5/20130:00,UP,UP
10/6/20130:00,UP,UP
10/7/20130:00,UP,UP
10/8/20130:00,UP,DOWN
10/11/20130:00,UP,UP
10/12/20130:00,UP,UP
10/13/20130:00,UP,UP
10/14/20130:00,UP,DOWN
