date,from state,to state
10/13/20130:00,DOWN,DOWN
10/14/20130:00,DOWN,DOWN
10/15/20130:00,DOWN,DOWN
10/16/20130:00,DOWN,DOWN
10/17/20130:00,DOWN,UP
10/19/20130:00,DOWN,UP
10/23/20130:00,DOWN,DOWN
10/24/20130:00,DOWN,DOWN
10/25/20130:00,DOWN,UP
10/27/20130:00,DOWN,UP
10/29/20130:00,DOWN,DOWN
10/30/20130:00,DOWN,DOWN
10/31/20130:00,DOWN,DOWN
11/1/20130:00,DOWN,DOWN
11/2/20130:00,DOWN,UP
11/8/20130:00,DOWN,DOWN
11/9/20130:00,DOWN,UP
11/13/20130:00,DOWN,DOWN
11/14/20130:00,DOWN,DOWN
11/15/20130:00,DOWN,UP
11/18/20130:00,DOWN,UP
11/22/20130:00,DOWN,DOWN
11/23/20130:00,DOWN,DOWN
11/24/20130:00,DOWN,UP
11/29/20130:00,DOWN,DOWN
11/30/20130:00,DOWN,UP
12/2/20130:00,DOWN,UP
12/4/20130:00,DOWN,DOWN
12/5/20130:00,DOWN,DOWN
12/6/20130:00,DOWN,UP
