date,from state,to state
3/18/20130:00,UP,UP
3/19/20130:00,UP,UP
3/20/20130:00,UP,DOWN
3/23/20130:00,UP,UP
3/24/20130:00,UP,UP
3/25/20130:00,UP,UP
3/26/20130:00,UP,DOWN
3/28/20130:00,UP,DOWN
3/31/20130:00,UP,UP
4/1/20130:00,UP,UP
4/2/20130:00,UP,DOWN
4/4/20130:00,UP,DOWN
4/6/20130:00,UP,UP
4/7/20130:00,UP,UP
4/8/20130:00,UP,DOWN
4/16/20130:00,UP,UP
4/17/20130:00,UP,UP
4/18/20130:00,UP,UP
4/19/20130:00,UP,DOWN
4/21/20130:00,UP,UP
4/22/20130:00,UP,UP
4/23/20130:00,UP,DOWN
4/27/20130:00,UP,UP
4/28/20130:00,UP,DOWN
5/3/20130:00,UP,UP
5/4/20130:00,UP,DOWN
5/7/20130:00,UP,DOWN
5/9/20130:00,UP,DOWN
5/12/20130:00,UP,DOWN
5/14/20130:00,UP,UP
