date,from state,to state
9/19/20130:00,DOWN,DOWN
9/20/20130:00,DOWN,DOWN
9/21/20130:00,DOWN,DOWN
9/22/20130:00,DOWN,DOWN
9/23/20130:00,DOWN,DOWN
9/24/20130:00,DOWN,DOWN
9/25/20130:00,DOWN,DOWN
9/26/20130:00,DOWN,UP
9/28/20130:00,DOWN,DOWN
9/29/20130:00,DOWN,UP
10/1/20130:00,DOWN,UP
10/4/20130:00,DOWN,DOWN
10/5/20130:00,DOWN,UP
10/7/20130:00,DOWN,UP
10/9/20130:00,DOWN,DOWN
10/10/20130:00,DOWN,DOWN
10/11/20130:00,DOWN,UP
10/15/20130:00,DOWN,UP
10/23/20130:00,DOWN,DOWN
10/24/20130:00,DOWN,DOWN
10/25/20130:00,DOWN,UP
10/29/20130:00,DOWN,UP
10/31/20130:00,DOWN,UP
11/9/20130:00,DOWN,UP
11/14/20130:00,DOWN,UP
11/18/20130:00,DOWN,UP
11/23/20130:00,DOWN,UP
11/29/20130:00,DOWN,DOWN
11/30/20130:00,DOWN,UP
12/4/20130:00,DOWN,DOWN
