date,from state,to state
5/15/2013 0:00, UP, UP
5/16/2013 0:00, UP, DOWN
5/20/2013 0:00, UP, UP
5/21/2013 0:00, UP, UP
5/22/2013 0:00, UP, UP
5/23/2013 0:00, UP, DOWN
5/25/2013 0:00, UP, DOWN
5/28/2013 0:00, UP, DOWN
5/30/2013 0:00, UP, UP
5/31/2013 0:00, UP, DOWN
6/3/2013 0:00, UP, UP
6/4/2013 0:00, UP, DOWN
6/9/2013 0:00, UP, UP
6/10/2013 0:00, UP, DOWN
6/15/2013 0:00, UP, UP
6/16/2013 0:00, UP, UP
6/17/2013 0:00, UP, UP
6/18/2013 0:00, UP, UP
6/19/2013 0:00, UP, DOWN
6/24/2013 0:00, UP, UP
6/25/2013 0:00, UP, DOWN
6/28/2013 0:00, UP, UP
6/29/2013 0:00, UP, DOWN
7/1/2013 0:00, UP, DOWN
7/3/2013 0:00, UP, DOWN
7/5/2013 0:00, UP, UP
7/6/2013 0:00, UP, UP
7/7/2013 0:00, UP, DOWN
7/9/2013 0:00, UP, UP
7/10/2013 0:00, UP, DOWN
