date,from state,to state
1/16/20130:00,UP,DOWN
1/20/20130:00,UP,DOWN
1/27/20130:00,UP,UP
1/28/20130:00,UP,DOWN
2/2/20130:00,UP,DOWN
2/6/20130:00,UP,DOWN
2/8/20130:00,UP,DOWN
2/13/20130:00,UP,DOWN
2/18/20130:00,UP,DOWN
2/27/20130:00,UP,DOWN
3/3/20130:00,UP,UP
3/4/20130:00,UP,DOWN
3/7/20130:00,UP,UP
3/8/20130:00,UP,DOWN
3/10/20130:00,UP,DOWN
3/12/20130:00,UP,DOWN
3/17/20130:00,UP,UP
3/18/20130:00,UP,UP
3/19/20130:00,UP,UP
3/20/20130:00,UP,DOWN
3/23/20130:00,UP,DOWN
3/25/20130:00,UP,UP
3/26/20130:00,UP,DOWN
3/28/20130:00,UP,DOWN
3/31/20130:00,UP,UP
4/1/20130:00,UP,UP
4/2/20130:00,UP,DOWN
4/4/20130:00,UP,DOWN
4/6/20130:00,UP,UP
4/7/20130:00,UP,UP
