date,from state,to state
2/19/20130:00,DOWN,DOWN
2/20/20130:00,DOWN,DOWN
2/21/20130:00,DOWN,DOWN
2/22/20130:00,DOWN,DOWN
2/23/20130:00,DOWN,DOWN
2/24/20130:00,DOWN,UP
2/26/20130:00,DOWN,UP
3/1/20130:00,DOWN,DOWN
3/2/20130:00,DOWN,UP
3/5/20130:00,DOWN,UP
3/9/20130:00,DOWN,UP
3/11/20130:00,DOWN,UP
3/13/20130:00,DOWN,DOWN
3/14/20130:00,DOWN,DOWN
3/15/20130:00,DOWN,DOWN
3/16/20130:00,DOWN,UP
3/21/20130:00,DOWN,DOWN
3/22/20130:00,DOWN,UP
3/27/20130:00,DOWN,UP
3/29/20130:00,DOWN,DOWN
3/30/20130:00,DOWN,UP
4/3/20130:00,DOWN,UP
4/5/20130:00,DOWN,UP
4/9/20130:00,DOWN,DOWN
4/10/20130:00,DOWN,DOWN
4/11/20130:00,DOWN,DOWN
4/12/20130:00,DOWN,DOWN
4/13/20130:00,DOWN,DOWN
4/14/20130:00,DOWN,DOWN
4/15/20130:00,DOWN,UP
